,week_ago,week_ago_week_day,week_ago_time,covid_y,smp_y,himself_y,getout_y,move_y,dyn_y,dyn_all_y,week_last,week_last_week_day,week_last_time,covid_x,smp_x,himself_x,getout_x,move_x,dyn_x,dyn_all_x
0,2022-05-30,ПН,24.0,45.0,42.0,3.0,22.0,0.0,23.0,23.0,2022-06-06,ПН,24.0,64.0,63.0,1.0,53.0,0.0,11.0,11.0
1,2022-05-31,ВТ,24.0,68.0,64.0,4.0,46.0,0.0,22.0,22.0,2022-06-07,ВТ,24.0,58.0,57.0,1.0,69.0,0.0,-11.0,-11.0
2,2022-06-01,СР,24.0,51.0,51.0,0.0,45.0,0.0,6.0,6.0,2022-06-08,СР,24.0,69.0,67.0,2.0,45.0,0.0,24.0,24.0
3,2022-06-02,ЧТ,24.0,71.0,70.0,1.0,38.0,0.0,33.0,33.0,2022-06-09,ЧТ,24.0,,,,,,,
4,2022-06-03,ПТ,24.0,60.0,55.0,5.0,58.0,0.0,2.0,2.0,2022-06-10,ПТ,24.0,,,,,,,
5,2022-06-04,СБ,24.0,53.0,50.0,3.0,31.0,0.0,22.0,22.0,2022-06-11,СБ,24.0,,,,,,,
6,2022-06-05,ВС,24.0,43.0,42.0,1.0,27.0,0.0,16.0,16.0,2022-06-12,ВС,24.0,,,,,,,
Total,,,168.0,391.0,374.0,17.0,267.0,0.0,124.0,124.0,,,168.0,191.0,187.0,4.0,167.0,0.0,24.0,24.0
